ID	TD	ploidy	td_sum	file	norm_td	norm
BLM	148	2	1815941111	blm-1-single-c5-w5-3d6_S105_.trimmed.mdup.bam	74	907970555.5
BLM	151	2	1867915128	zeid_BLM_UV300s_hoechst3_cluster14_well27_S468_.trimmed.mdup.bam	75.5	933957564
BLM/RECQL5	80	2	1151411887	blm-recq5-2-single-c4-w21-3d6_S86_.trimmed.mdup.bam	40	575705943.5
RECQL5	25	2	323158048	zeid_RECQ5_UV300s_hoechst3_cluster15_well31_S521_.trimmed.mdup.bam	12.5	161579024
RECQL5	13	2	507150970	zeid_RECQ5_UV300s_hoechst3_cluster15_well27_S517_.trimmed.mdup.bam	6.5	253575485
RECQL5	27	2	380666086	zeid_RECQ5_UV300s_hoechst3_cluster15_well19_S509_.trimmed.mdup.bam	13.5	190333043
BLM	24	2	355575819	zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_.trimmed.mdup.bam	12	177787909.5
BLM	20	2	371077762	zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_.trimmed.mdup.bam	10	185538881
BLM	31	2	393584120	zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_.trimmed.mdup.bam	15.5	196792060
BLM	19	2	375327722	zeid_BLM_UV300s_hoechst3_cluster14_well34_S475_.trimmed.mdup.bam	9.5	187663861
BLM	12	2	369970706	zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_.trimmed.mdup.bam	6	184985353
BLM	16	2	367191802	zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_.trimmed.mdup.bam	8	183595901
RECQL5	15	2	395770095	zeid_RECQ5_UV300s_hoechst3_cluster15_well13_S503_.trimmed.mdup.bam	7.5	197885047.5
RECQL5	22	2	397095484	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam	11	198547742
RECQL5	42	2	360350796	zeid_RECQ5_UV300s_hoechst3_cluster15_well25_S515_.trimmed.mdup.bam	21	180175398
RECQL5	15	2	356705642	zeid_RECQ5_UV300s_hoechst3_cluster15_well32_S522_.trimmed.mdup.bam	7.5	178352821
RECQL5	10	2	350180990	zeid_RECQ5_UV300s_hoechst3_cluster15_well16_S506_.trimmed.mdup.bam	5	175090495
RECQL5	13	2	372954827	zeid_RECQ5_UV300s_hoechst3_cluster15_well23_S513_.trimmed.mdup.bam	6.5	186477413.5
RECQL5	18	2	394273020	zeid_RECQ5_UV300s_hoechst3_cluster15_well26_S516_.trimmed.mdup.bam	9	197136510
RECQL5	16	2	381261798	zeid_RECQ5_UV300s_hoechst3_cluster15_well30_S520_.trimmed.mdup.bam	8	190630899
RECQL5	17	2	361179107	zeid_RECQ5_UV300s_hoechst3_cluster15_well24_S514_.trimmed.mdup.bam	8.5	180589553.5
RECQL5	15	2	351399067	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam	7.5	175699533.5
BLM	33	2	363759258	zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_.trimmed.mdup.bam	16.5	181879629
RECQL5	19	2	294999783	zeid_RECQ5_UV300s_hoechst3_cluster15_well20_S510_.trimmed.mdup.bam	9.5	147499891.5
