ID	TD	ploidy	td_sum	file	norm_td	norm
BLM	197	1	1129739612	blm-1-single-c5-w30-3d6_S130_.trimmed.mdup.bam	197	1129739612
BLM	88	1	785400169	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam	88	785400169
BLM	89	1	964808717	blm-1-single-c9-w46-3d6_S342_.trimmed.mdup.bam	89	964808717
BLM	134	1	1002562180	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam	134	1002562180
BLM	84	1	880715718	blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam	84	880715718
BLM	95	1	948220664	blm-1-single-c5-w26-3d6_S126_.trimmed.mdup.bam	95	948220664
BLM	92	1	937375794	blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam	92	937375794
BLM	85	1	940799957	blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam	85	940799957
BLM	90	1	892285936	blm-1-single-c9-w35-3d6_S331_.trimmed.mdup.bam	90	892285936
BLM	95	1	1047327592	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam	95	1047327592
BLM	94	1	1011264779	blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam	94	1011264779
BLM	126	1	1154931196	blm-1-single-c5-w34-3d6_S134_.trimmed.mdup.bam	126	1154931196
BLM	121	1	1108428699	blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam	121	1108428699
BLM	107	1	909336998	blm-1-single-c9-w6-3d6_S302_.trimmed.mdup.bam	107	909336998
BLM	88	1	829626730	blm-1-single-c5-w31-3d6_S131_.trimmed.mdup.bam	88	829626730
BLM	72	1	558963389	blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam	72	558963389
BLM	74	1	666917032	blm-1-single-c5-w42-3d6_S142_.trimmed.mdup.bam	74	666917032
BLM	64	1	737204732	blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam	64	737204732
BLM	61	1	558645642	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam	61	558645642
BLM	64	1	660474183	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam	64	660474183
BLM	35	1	567342511	blm-1-single-c10-w33_.trimmed.mdup.bam	35	567342511
WT	12	1	392765377	fucci-wt-single-f7-r5-c5_S33_.trimmed.mdup.bam	12	392765377
BLM/RECQL5	15	1	466210590	blm-recq5-2-single-f16-r5-c5_S572_.trimmed.mdup.bam	15	466210590
BLM/RECQL5	13	1	597434645	blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	13	597434645
BLM/RECQL5	22	1	278134667	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	22	278134667
BLM/RECQL5	28	1	316473091	blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	28	316473091
BLM/RECQL5	15	1	360371310	blm-recq5-2-single-f16-r3-c6_S559_.trimmed.mdup.bam	15	360371310
BLM/RECQL5	15	1	351576962	blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	15	351576962
BLM/RECQL5	14	1	369140702	blm-recq5-2-single-f16-r5-c7_S574_.trimmed.mdup.bam	14	369140702
BLM/RECQL5	16	1	398747493	blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	16	398747493
BLM/RECQL5	16	1	397043945	blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	16	397043945
BLM/RECQL5	17	1	300244913	blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	17	300244913
BLM	19	1	334770795	blm-1-single-f5-r5-c3_S31_.trimmed.mdup.bam	19	334770795
BLM/RECQL5	20	1	429862488	blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	20	429862488
RECQL5	13	1	371208029	recq5-2-single-f9-r4-c2_S219_.trimmed.mdup.bam	13	371208029
BLM	47	1	535930169	blm-1-single-c5-w45-3d6_S145_.trimmed.mdup.bam	47	535930169
BLM	36	1	412949408	blm-1-single-c5-w36-3d6_S136_.trimmed.mdup.bam	36	412949408
BLM	39	1	330255433	blm-1-single-c5-w43-3d6_S143_.trimmed.mdup.bam	39	330255433
BLM/RECQL5	37	1	297534510	blm-recq5-2-single-f16-r4-c4_S564_.trimmed.mdup.bam	37	297534510
BLM/RECQL5	26	1	340492547	blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	26	340492547
RECQL5	10	1	332571957	recq5-2-single-f11-r4-c7_S322_.trimmed.mdup.bam	10	332571957
BLM/RECQL5	25	1	328849615	blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	25	328849615
RECQL5	28	1	325074988	recq5-2-single-f10-r2-c3_S255_.trimmed.mdup.bam	28	325074988
RECQL5	38	1	345048405	recq5-2-single-f11-r5-c2_S324_.trimmed.mdup.bam	38	345048405
BLM/RECQL5	37	1	319776212	blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	37	319776212
BLM/RECQL5	30	1	324333640	blm-recq5-2-single-f16-r1-c6_S545_.trimmed.mdup.bam	30	324333640
WT	11	1	327509795	fucci-wt-single-f11-r6-c7_S140_.trimmed.mdup.bam	11	327509795
BLM/RECQL5	29	1	331034199	blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	29	331034199
WT	11	1	328201758	fucci-wt-single-f11-r2-c7_S112_.trimmed.mdup.bam	11	328201758
BLM/RECQL5	34	1	362012056	blm-recq5-1-single-f15-r6-c1_S526_.trimmed.mdup.bam	34	362012056
BLM/RECQL5	17	1	411954767	blm-recq5-1-single-f15-r6-c3_S528_.trimmed.mdup.bam	17	411954767
BLM/RECQL5	39	1	422729589	blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	39	422729589
RECQL5	16	1	301791572	recq5-2-single-f10-r7-c2_S289_.trimmed.mdup.bam	16	301791572
RECQL5	19	1	300083851	recq5-2-single-f11-r1-c7_S301_.trimmed.mdup.bam	19	300083851
BLM/RECQL5	23	1	443048439	blm-recq5-1-single-c7-w28-3d6_S226_.trimmed.mdup.bam	23	443048439
BLM/RECQL5	16	1	426661361	blm_recq5-2-single-c15-w21_.trimmed.mdup.bam	16	426661361
BLM/RECQL5	9	1	383787445	blm_recq5-2-single-c16-w16_.trimmed.mdup.bam	9	383787445
BLM/RECQL5	15	1	430189275	blm-recq5-1-single-f15-r1-c6_S496_.trimmed.mdup.bam	15	430189275
BLM/RECQL5	17	1	365958411	blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam	17	365958411
BLM/RECQL5	17	1	445196508	blm-recq5-2-single-f16-r4-c2_S562_.trimmed.mdup.bam	17	445196508
BLM/RECQL5	16	1	364563738	blm-recq5-1-single-f15-r3-c6_S510_.trimmed.mdup.bam	16	364563738
BLM/RECQL5	21	1	353114054	blm-recq5-1-single-f14-r3-c6_S461_.trimmed.mdup.bam	21	353114054
BLM/RECQL5	23	1	345394869	blm-recq5-2-single-f16-r6-c5_S579_.trimmed.mdup.bam	23	345394869
BLM/RECQL5	18	1	325272432	blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	18	325272432
BLM/RECQL5	9	1	302894599	blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	9	302894599
WT	16	1	344534553	fucci-wt-single-f11-r2-c3_S108_.trimmed.mdup.bam	16	344534553
WT	16	1	344891487	fucci-wt-single-f11-r6-c3_S136_.trimmed.mdup.bam	16	344891487
BLM/RECQL5	20	1	384309342	blm-recq5-1-single-c3-w19-3d6_S60_.trimmed.mdup.bam	20	384309342
WT	15	1	383831269	fucci-wt-single-f12-r7-c1_S190_.trimmed.mdup.bam	15	383831269
RECQL5	17	1	356391962	recq5-2-single-f10-r7-c6_S293_.trimmed.mdup.bam	17	356391962
BLM/RECQL5	18	1	423728592	blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	18	423728592
BLM/RECQL5	14	1	399986241	blm-recq5-2-single-c12-w24-3d6_S467_.trimmed.mdup.bam	14	399986241
BLM/RECQL5	21	1	401424238	blm_recq5-2-single-c16-w28_.trimmed.mdup.bam	21	401424238
BLM/RECQL5	8	1	330255299	blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	8	330255299
BLM/RECQL5	13	1	326689218	blm_recq5-2-single-c16-w21_.trimmed.mdup.bam	13	326689218
BLM/RECQL5	16	1	355843354	blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	16	355843354
BLM/RECQL5	18	1	354051362	blm_recq5-2-single-c16-w5_.trimmed.mdup.bam	18	354051362
BLM/RECQL5	13	1	356114220	blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	13	356114220
BLM/RECQL5	9	1	354465758	blm_recq5-2-single-c15-w41_.trimmed.mdup.bam	9	354465758
BLM/RECQL5	18	1	380622280	blm-recq5-2-single-c4-w19-3d6_S85_.trimmed.mdup.bam	18	380622280
WT	13	1	372901965	fucci-wt-single-f8-r1-c6_S55_.trimmed.mdup.bam	13	372901965
WT	21	1	420250571	fucci-wt-single-f8-r2-c4_S60_.trimmed.mdup.bam	21	420250571
BLM/RECQL5	12	1	365667686	blm-recq5-2-single-f16-r4-c1_S561_.trimmed.mdup.bam	12	365667686
RECQL5	10	1	351189273	recq5-2-single-f11-r2-c1_S302_.trimmed.mdup.bam	10	351189273
BLM	16	1	357037577	blm-1-single-c10-w15_.trimmed.mdup.bam	16	357037577
WT	11	1	352444410	fucci-wt-single-f11-r3-c7_S119_.trimmed.mdup.bam	11	352444410
BLM/RECQL5	13	1	351193821	blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	13	351193821
BLM/RECQL5	12	1	351640041	blm-recq5-2-single-f16-r3-c5_S558_.trimmed.mdup.bam	12	351640041
WT	12	1	356808197	fucci-wt-single-f8-r5-c4_S81_.trimmed.mdup.bam	12	356808197
WT	13	1	370845462	fucci-wt-single-f11-r5-c4_S130_.trimmed.mdup.bam	13	370845462
RECQL5	18	1	373083814	recq5-2-single-f9-r7-c2_S240_.trimmed.mdup.bam	18	373083814
WT	17	1	357847834	fucci-wt-single-f12-r1-c1_S148_.trimmed.mdup.bam	17	357847834
BLM/RECQL5	13	1	354173591	blm_recq5-2-single-c16-w26_.trimmed.mdup.bam	13	354173591
BLM/RECQL5	11	1	352025938	blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	11	352025938
WT	9	1	349323982	fucci-wt-single-f7-r4-c5_S26_.trimmed.mdup.bam	9	349323982
WT	7	1	347479918	fucci-wt-single-f12-r2-c3_S157_.trimmed.mdup.bam	7	347479918
WT	12	1	352744829	fucci-wt-single-f7-r2-c4_S11_.trimmed.mdup.bam	12	352744829
WT	12	1	370721754	fucci-wt-single-f12-r1-c4_S151_.trimmed.mdup.bam	12	370721754
RECQL5	15	1	395095345	recq5-2-single-f11-r5-c3_S325_.trimmed.mdup.bam	15	395095345
WT	13	1	335505549	fucci-wt-single-f12-r2-c7_S161_.trimmed.mdup.bam	13	335505549
