ID	TD	ploidy	td_sum	file	norm_td	norm
BLM	125	2	1820976221	blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam	62.5	910488110.5
BLM	130	2	1929011896	zeid_BLM_UV300s_hoechst3_cluster14_well27_S468_.trimmed.mdup.bam	65	964505948
RECQL5	15	2	288489174	zeid_RECQ5_UV300s_hoechst3_cluster15_well31_S521_.trimmed.mdup.bam	7.5	144244587
RECQL5	10	2	349451051	zeid_RECQ5_UV300s_hoechst3_cluster15_well19_S509_.trimmed.mdup.bam	5	174725525.5
RECQL5	12	2	462698750	zeid_RECQ5_UV300s_hoechst3_cluster15_well27_S517_.trimmed.mdup.bam	6	231349375
BLM	12	2	365313778	zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_.trimmed.mdup.bam	6	182656889
BLM	15	2	330729728	zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_.trimmed.mdup.bam	7.5	165364864
BLM	18	2	367194952	zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_.trimmed.mdup.bam	9	183597476
BLM	12	2	345806693	zeid_BLM_UV300s_hoechst3_cluster14_well34_S475_.trimmed.mdup.bam	6	172903346.5
BLM	11	2	350550551	zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_.trimmed.mdup.bam	5.5	175275275.5
BLM	15	2	344120418	zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_.trimmed.mdup.bam	7.5	172060209
RECQL5	10	2	372218308	zeid_RECQ5_UV300s_hoechst3_cluster15_well13_S503_.trimmed.mdup.bam	5	186109154
RECQL5	16	2	332421537	zeid_RECQ5_UV300s_hoechst3_cluster15_well25_S515_.trimmed.mdup.bam	8	166210768.5
RECQL5	12	2	350183180	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam	6	175091590
RECQL5	12	2	330030572	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam	6	165015286
RECQL5	7	2	327738858	zeid_RECQ5_UV300s_hoechst3_cluster15_well16_S506_.trimmed.mdup.bam	3.5	163869429
RECQL5	10	2	352554477	zeid_RECQ5_UV300s_hoechst3_cluster15_well23_S513_.trimmed.mdup.bam	5	176277238.5
RECQL5	6	2	349252234	zeid_RECQ5_UV300s_hoechst3_cluster15_well24_S514_.trimmed.mdup.bam	3	174626117
RECQL5	8	2	350521414	zeid_RECQ5_UV300s_hoechst3_cluster15_well26_S516_.trimmed.mdup.bam	4	175260707
RECQL5	8	2	357006470	zeid_RECQ5_UV300s_hoechst3_cluster15_well30_S520_.trimmed.mdup.bam	4	178503235
RECQL5	13	2	352689232	zeid_RECQ5_UV300s_hoechst3_cluster15_well32_S522_.trimmed.mdup.bam	6.5	176344616
BLM	21	2	321459874	zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_.trimmed.mdup.bam	10.5	160729937
RECQL5	20	2	292650919	zeid_RECQ5_UV300s_hoechst3_cluster15_well20_S510_.trimmed.mdup.bam	10	146325459.5
