ID	TD	ploidy	td_sum	file	norm_td	norm	name
BLM	154	1	1069165998	blm-1-single-c5-w30-3d6_S130_.trimmed.mdup.bam	154	1069165998	EDIVISIVE
BLM	95	1	957816074	blm-1-single-c5-w5-3d6_S105_.trimmed.mdup.bam	95	957816074	EDIVISIVE
BLM	104	1	987175374	blm-1-single-c9-w6-3d6_S302_.trimmed.mdup.bam	104	987175374	EDIVISIVE
BLM	97	1	919118519	blm-1-single-c5-w31-3d6_S131_.trimmed.mdup.bam	97	919118519	EDIVISIVE
BLM	86	1	843898459	blm-1-single-c5-w26-3d6_S126_.trimmed.mdup.bam	86	843898459	EDIVISIVE
BLM	51	1	702234044	blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam	51	702234044	EDIVISIVE
BLM	67	1	644061209	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam	67	644061209	EDIVISIVE
BLM	76	1	635567032	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam	76	635567032	EDIVISIVE
BLM	72	1	753350362	blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam	72	753350362	EDIVISIVE
BLM	95	1	973865019	blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam	95	973865019	EDIVISIVE
BLM	73	1	882553963	blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam	73	882553963	EDIVISIVE
BLM	83	1	873843856	blm-1-single-c5-w43-3d6_S143_.trimmed.mdup.bam	83	873843856	EDIVISIVE
BLM	68	1	842149945	blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam	68	842149945	EDIVISIVE
BLM	81	1	855022548	blm-1-single-c9-w35-3d6_S331_.trimmed.mdup.bam	81	855022548	EDIVISIVE
BLM	92	1	826876569	blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam	92	826876569	EDIVISIVE
BLM	111	1	1062046397	blm-1-single-c5-w34-3d6_S134_.trimmed.mdup.bam	111	1062046397	EDIVISIVE
BLM	98	1	925600973	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam	98	925600973	EDIVISIVE
BLM	73	1	889243955	blm-1-single-c9-w46-3d6_S342_.trimmed.mdup.bam	73	889243955	EDIVISIVE
BLM	29	1	536894625	blm-1-single-c10-w33_.trimmed.mdup.bam	29	536894625	EDIVISIVE
BLM	73	1	674102270	blm-1-single-c5-w42-3d6_S142_.trimmed.mdup.bam	73	674102270	EDIVISIVE
BLM	45	1	550086677	blm-1-single-c5-w45-3d6_S145_.trimmed.mdup.bam	45	550086677	EDIVISIVE
BLM	53	1	500873472	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam	53	500873472	EDIVISIVE
BLM	49	1	485852275	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam	49	485852275	EDIVISIVE
BLM	34	1	406095602	blm-1-single-c5-w36-3d6_S136_.trimmed.mdup.bam	34	406095602	EDIVISIVE
BLM/RECQL5	30	1	449121251	blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam	30	449121251	EDIVISIVE
BLM/RECQL5	25	1	314637778	blm-recq5-1-single-f15-r5-c5_S523_.trimmed.mdup.bam	25	314637778	EDIVISIVE
BLM/RECQL5	24	1	339701984	blm-recq5-1-single-f15-r6-c1_S526_.trimmed.mdup.bam	24	339701984	EDIVISIVE
BLM/RECQL5	13	1	416349632	blm-recq5-1-single-f15-r6-c3_S528_.trimmed.mdup.bam	13	416349632	EDIVISIVE
BLM/RECQL5	34	1	426826580	blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	34	426826580	EDIVISIVE
RECQL5	10	1	273901360	recq5-2-single-f11-r1-c7_S301_.trimmed.mdup.bam	10	273901360	EDIVISIVE
BLM/RECQL5	17	1	389408463	blm-recq5-1-single-c7-w28-3d6_S226_.trimmed.mdup.bam	17	389408463	EDIVISIVE
BLM/RECQL5	26	1	381914433	blm-recq5-2-single-c4-w21-3d6_S86_.trimmed.mdup.bam	26	381914433	EDIVISIVE
BLM	12	1	314572638	blm-1-single-f5-r5-c3_S31_.trimmed.mdup.bam	12	314572638	EDIVISIVE
