ID	TD	ploidy	td_sum	file	norm	norm_td
BLM	92	1	547250499	blm-1-single-c10-w33_.trimmed.mdup.bam	547250499	92
BLM	286	1	584497985	blm-1-single-c5-w7-3d6_S107_.trimmed.mdup.bam	584497985	286
BLM/RECQL5	303	1	342793969	blm-recq5-2-single-f12-r1-c2_S345_.trimmed.mdup.bam	342793969	303
WT	35	1	429596354	fucci-wt-single-f7-r5-c5_S33_.trimmed.mdup.bam	429596354	35
BLM/RECQL5	30	1	469941184	blm-recq5-2-single-f16-r5-c5_S572_.trimmed.mdup.bam	469941184	30
RECQL5	50	1	454170152	recq5-2-single-f9-r4-c2_S219_.trimmed.mdup.bam	454170152	50
BLM/RECQL5	26	1	352441855	blm-recq5-2-single-f16-r3-c6_S559_.trimmed.mdup.bam	352441855	26
BLM/RECQL5	18	1	354781513	blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	354781513	18
BLM/RECQL5	28	1	373205369	blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	373205369	28
BLM/RECQL5	38	1	389484280	blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	389484280	38
BLM/RECQL5	24	1	370436381	blm-recq5-2-single-f16-r5-c7_S574_.trimmed.mdup.bam	370436381	24
BLM/RECQL5	42	1	350130079	blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	350130079	42
RECQL5	17	1	336605677	recq5-2-single-f11-r4-c7_S322_.trimmed.mdup.bam	336605677	17
BLM/RECQL5	32	1	435062839	blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	435062839	32
BLM/RECQL5	63	1	327116616	blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	327116616	63
BLM/RECQL5	24	1	616406951	blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	616406951	24
RECQL5	136	1	452480899	recq5-2-single-f10-r7-c2_S289_.trimmed.mdup.bam	452480899	136
BLM/RECQL5	107	1	535631498	blm-recq5-2-single-c4-w19-3d6_S85_.trimmed.mdup.bam	535631498	107
RECQL5	46	1	384279297	recq5-2-single-f11-r1-c7_S301_.trimmed.mdup.bam	384279297	46
BLM/RECQL5	26	1	484687001	blm_recq5-2-single-c15-w21_.trimmed.mdup.bam	484687001	26
BLM/RECQL5	44	1	408937083	blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam	408937083	44
BLM/RECQL5	26	1	441951586	blm_recq5-2-single-c16-w16_.trimmed.mdup.bam	441951586	26
BLM/RECQL5	43	1	442925971	blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	442925971	43
BLM/RECQL5	43	1	357403766	blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	357403766	43
BLM/RECQL5	19	1	291940354	blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	291940354	19
BLM/RECQL5	52	1	497716175	blm-recq5-1-single-f15-r1-c6_S496_.trimmed.mdup.bam	497716175	52
BLM/RECQL5	40	1	469250930	blm-recq5-2-single-f16-r4-c2_S562_.trimmed.mdup.bam	469250930	40
BLM/RECQL5	58	1	406272935	blm-recq5-1-single-f15-r3-c6_S510_.trimmed.mdup.bam	406272935	58
BLM/RECQL5	39	1	456862543	blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	456862543	39
BLM/RECQL5	44	1	465422932	blm-recq5-2-single-f8-r7-c2_S191_.trimmed.mdup.bam	465422932	44
RECQL5	91	1	412852850	recq5-2-single-f11-r5-c7_S329_.trimmed.mdup.bam	412852850	91
RECQL5	94	1	375510160	recq5-2-single-f11-r6-c7_S336_.trimmed.mdup.bam	375510160	94
RECQL5	34	1	421989534	recq5-2-single-f11-r5-c5_S327_.trimmed.mdup.bam	421989534	34
WT	25	1	352284075	fucci-wt-single-f12-r7-c1_S190_.trimmed.mdup.bam	352284075	25
WT	72	1	382572987	fucci-wt-single-f8-r2-c6_S62_.trimmed.mdup.bam	382572987	72
BLM/RECQL5	32	1	386247302	blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	386247302	32
BLM/RECQL5	20	1	357029050	blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	357029050	20
RECQL5	21	1	392007053	recq5-2-single-f11-r2-c3_S304_.trimmed.mdup.bam	392007053	21
BLM/RECQL5	44	1	423524866	blm-recq5-2-single-f8-r3-c2_S163_.trimmed.mdup.bam	423524866	44
WT	44	1	450189114	fucci-wt-single-f12-r2-c3_S157_.trimmed.mdup.bam	450189114	44
BLM/RECQL5	44	1	432859395	blm-recq5-2-single-f12-r2-c4_S354_.trimmed.mdup.bam	432859395	44
RECQL5	43	1	434624887	recq5-2-single-f11-r2-c5_S306_.trimmed.mdup.bam	434624887	43
WT	34	1	433107427	fucci-wt-single-f8-r1-c6_S55_.trimmed.mdup.bam	433107427	34
WT	26	1	354304366	fucci-wt-single-f11-r4-c2_S121_.trimmed.mdup.bam	354304366	26
WT	36	1	356633987	fucci-wt-single-f8-r5-c4_S81_.trimmed.mdup.bam	356633987	36
BLM/RECQL5	27	1	384197644	blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	384197644	27
WT	38	1	400065047	fucci-wt-single-f11-r1-c6_S104_.trimmed.mdup.bam	400065047	38
WT	36	1	408910670	fucci-wt-single-f12-r4-c4_S172_.trimmed.mdup.bam	408910670	36
WT	48	1	402780681	fucci-wt-single-f11-r1-c7_S105_.trimmed.mdup.bam	402780681	48
WT	38	1	419169272	fucci-wt-single-f11-r5-c4_S130_.trimmed.mdup.bam	419169272	38
WT	41	1	400304438	fucci-wt-single-f12-r2-c7_S161_.trimmed.mdup.bam	400304438	41
BLM/RECQL5	51	1	439778228	blm-recq5-2-single-f12-r2-c7_S357_.trimmed.mdup.bam	439778228	51
RECQL5	52	1	434754215	recq5-2-single-f9-r3-c2_S212_.trimmed.mdup.bam	434754215	52
RECQL5	53	1	436106069	recq5-2-single-f9-r7-c2_S240_.trimmed.mdup.bam	436106069	53
BLM/RECQL5	46	1	393994760	blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam	393994760	46
WT	36	1	399631804	fucci-wt-single-f8-r4-c5_S75_.trimmed.mdup.bam	399631804	36
WT	53	1	431427079	fucci-wt-single-f7-r3-c6_S20_.trimmed.mdup.bam	431427079	53
