ID	TD	ploidy	td_sum	file	norm	norm_td	name
WT	35	2	47082891	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam	23541445.5	17.5	HMM
WT	66	2	83080125	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam	41540062.5	33	HMM
RECQL5	66	2	180217058	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam	90108529	33	HMM
BLM	92	1	547250499	blm-1-single-c10-w33_.trimmed.mdup.bam	547250499	92	HMM
BLM	286	1	584497985	blm-1-single-c5-w7-3d6_S107_.trimmed.mdup.bam	584497985	286	HMM
BLM/RECQL5	303	1	342793969	blm-recq5-2-single-f12-r1-c2_S345_.trimmed.mdup.bam	342793969	303	HMM
WT	35	1	429596354	fucci-wt-single-f7-r5-c5_S33_.trimmed.mdup.bam	429596354	35	HMM
BLM/RECQL5	30	1	469941184	blm-recq5-2-single-f16-r5-c5_S572_.trimmed.mdup.bam	469941184	30	HMM
RECQL5	50	1	454170152	recq5-2-single-f9-r4-c2_S219_.trimmed.mdup.bam	454170152	50	HMM
BLM/RECQL5	26	1	352441855	blm-recq5-2-single-f16-r3-c6_S559_.trimmed.mdup.bam	352441855	26	HMM
BLM/RECQL5	18	1	354781513	blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	354781513	18	HMM
BLM/RECQL5	28	1	373205369	blm-recq5-1-single-f14-r2-c6_S454_.trimmed.mdup.bam	373205369	28	HMM
BLM/RECQL5	38	1	389484280	blm-recq5-1-single-f14-r1-c4_S445_.trimmed.mdup.bam	389484280	38	HMM
BLM/RECQL5	24	1	370436381	blm-recq5-2-single-f16-r5-c7_S574_.trimmed.mdup.bam	370436381	24	HMM
BLM/RECQL5	42	1	350130079	blm-recq5-2-single-f16-r1-c5_S544_.trimmed.mdup.bam	350130079	42	HMM
RECQL5	17	1	336605677	recq5-2-single-f11-r4-c7_S322_.trimmed.mdup.bam	336605677	17	HMM
BLM/RECQL5	32	1	435062839	blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	435062839	32	HMM
BLM/RECQL5	63	1	327116616	blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	327116616	63	HMM
BLM/RECQL5	24	1	616406951	blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	616406951	24	HMM
RECQL5	136	1	452480899	recq5-2-single-f10-r7-c2_S289_.trimmed.mdup.bam	452480899	136	HMM
BLM/RECQL5	107	1	535631498	blm-recq5-2-single-c4-w19-3d6_S85_.trimmed.mdup.bam	535631498	107	HMM
RECQL5	46	1	384279297	recq5-2-single-f11-r1-c7_S301_.trimmed.mdup.bam	384279297	46	HMM
BLM/RECQL5	26	1	484687001	blm_recq5-2-single-c15-w21_.trimmed.mdup.bam	484687001	26	HMM
BLM/RECQL5	44	1	408937083	blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam	408937083	44	HMM
BLM/RECQL5	26	1	441951586	blm_recq5-2-single-c16-w16_.trimmed.mdup.bam	441951586	26	HMM
BLM/RECQL5	43	1	442925971	blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	442925971	43	HMM
BLM/RECQL5	43	1	357403766	blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	357403766	43	HMM
BLM/RECQL5	19	1	291940354	blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	291940354	19	HMM
BLM/RECQL5	52	1	497716175	blm-recq5-1-single-f15-r1-c6_S496_.trimmed.mdup.bam	497716175	52	HMM
BLM/RECQL5	40	1	469250930	blm-recq5-2-single-f16-r4-c2_S562_.trimmed.mdup.bam	469250930	40	HMM
BLM/RECQL5	58	1	406272935	blm-recq5-1-single-f15-r3-c6_S510_.trimmed.mdup.bam	406272935	58	HMM
BLM/RECQL5	39	1	456862543	blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	456862543	39	HMM
BLM/RECQL5	44	1	465422932	blm-recq5-2-single-f8-r7-c2_S191_.trimmed.mdup.bam	465422932	44	HMM
RECQL5	91	1	412852850	recq5-2-single-f11-r5-c7_S329_.trimmed.mdup.bam	412852850	91	HMM
RECQL5	94	1	375510160	recq5-2-single-f11-r6-c7_S336_.trimmed.mdup.bam	375510160	94	HMM
RECQL5	34	1	421989534	recq5-2-single-f11-r5-c5_S327_.trimmed.mdup.bam	421989534	34	HMM
WT	25	1	352284075	fucci-wt-single-f12-r7-c1_S190_.trimmed.mdup.bam	352284075	25	HMM
