ID	ploidy	gainSeg	totalGain	lossSeg	totalLoss	file
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r1-c5_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r3-c4_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r4-c6_merged_.trimmed.mdup.bam
WT	2	1	30200000	0	0	na12878-fdu-mnase-single-f5-r1-c6_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r7-c2_merged_.trimmed.mdup.bam
WT	2	3	188400000	0	0	na12878-fdu-mnase-single-f5-r2-c1_merged_.trimmed.mdup.bam
WT	2	2	86600000	0	0	na12878-fdu-mnase-single-f6-r6-c6_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r3-c1_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r7-c3_merged_.trimmed.mdup.bam
WT	2	0	0	1	33800000	na12878-fdu-mnase-single-f5-r4-c4_merged_.trimmed.mdup.bam
WT	2	0	0	1	111400000	na12878-fdu-mnase-single-f5-r4-c7_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r4-c4_merged_.trimmed.mdup.bam
WT	2	0	0	1	34000000	na12878-fdu-mnase-single-f6-r5-c4_merged_.trimmed.mdup.bam
WT	2	0	0	2	98500000	na12878-fdu-mnase-single-f5-r2-c4_merged_.trimmed.mdup.bam
WT	2	0	0	1	42100000	na12878-fdu-mnase-single-f6-r6-c1_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r2-c2_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r5-c2_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r3-c1_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r4-c7_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r7-c5_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f6-r1-c4_merged_.trimmed.mdup.bam
WT	2	0	0	1	37600000	na12878-fdu-mnase-single-f5-r1-c4_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r1-c2_merged_.trimmed.mdup.bam
WT	2	0	0	0	0	na12878-fdu-mnase-single-f5-r1-c7_merged_.trimmed.mdup.bam
